ID,Sección,Tipo,Referencia,Fecha,Estado de carga,Estatus según radar,Fuentes,Nota
RAD-001,"12.1 Constitución, leyes, PND y reglamentos",Decreto constitucional,Áreas y empresas estratégicas,31 oct 2024,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5742012 | https://sidof.segob.gob.mx/notas/docFuente/5742012,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-002,"12.1 Constitución, leyes, PND y reglamentos",Decreto constitucional,Simplificación orgánica; transferencia de funciones regulatorias,20 dic 2024,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5745905 | https://sidof.segob.gob.mx/notas/docFuente/5745905,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-003,"12.1 Constitución, leyes, PND y reglamentos",Decreto legislativo,"Ocho leyes energéticas, Fondo Mexicano del Petróleo y LOAPF",18 mar 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5752329 | https://sidof.segob.gob.mx/notas/docFuente/5752329,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-cierre-prioridades-2026-09-19/VERIFICACION.json. Cobertura del decreto completada: ocho leyes en sus fichas anteriores y artículos Noveno y Décimo (FMP y LOAPF), sus transitorios y cierre común en la nueva ficha."
RAD-004,"12.1 Constitución, leyes, PND y reglamentos",Decreto legislativo,Reforma a la Ley de Ingresos sobre Hidrocarburos,18 mar 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5752330 | https://sidof.segob.gob.mx/notas/docFuente/5752330,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-005,"12.1 Constitución, leyes, PND y reglamentos",Decreto,Aprueba PND 2025-2030,15 abr 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5755161,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-006,"12.1 Constitución, leyes, PND y reglamentos",Plan,Texto del PND 2025-2030,15 abr 2025,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5755162,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-007,"12.1 Constitución, leyes, PND y reglamentos",Reglamento interior,Reglamento Interior de la SENER,17 abr 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5755222,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-008,"12.1 Constitución, leyes, PND y reglamentos",Reglamento interior,Reglamento Interior de la CNE,8 may 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5756757,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-009,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,Ley del Sector Hidrocarburos,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769153,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-010,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,Ley de Geotermia,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769154,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-011,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,Ley del Sector Eléctrico,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769155,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-012,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,Ley de Biocombustibles,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769156,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-013,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,Ley de Planeación y Transición Energética,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769157,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-014,"12.1 Constitución, leyes, PND y reglamentos",Reforma reglamentaria,Reglamento de la Ley de Ingresos sobre Hidrocarburos,3 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769158 | https://sidof.segob.gob.mx/notas/docFuente/5769158,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json. La nota 5769158 contiene una REFORMA al reglamento, no su texto íntegro; se carga con esa identificación."
