"id","seccion","subseccion","fecha_radar","tipo_radar","titulo_radar","estado_radar","estado_carga","titulo_en_supabase","repite_fuente_de","codigos_dof","fuentes","linea_radar","nota"
"RAD-001","12.1 Constitución, leyes, PND y reglamentos","","31 oct 2024","Decreto constitucional","Áreas y empresas estratégicas","Vigente","FALTA EN CATALOGO","","","5742012","https://sidof.segob.gob.mx/notas/5742012","1540","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-002","12.1 Constitución, leyes, PND y reglamentos","","20 dic 2024","Decreto constitucional","Simplificación orgánica; transferencia de funciones regulatorias","Vigente","FALTA EN CATALOGO","","","5745905","https://sidof.segob.gob.mx/notas/5745905","1541","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-003","12.1 Constitución, leyes, PND y reglamentos","","18 mar 2025","Decreto legislativo","Ocho leyes energéticas, Fondo Mexicano del Petróleo y LOAPF","Vigente","DECRETO COMPUESTO: COBERTURA PARCIAL","","","5752329","https://sidof.segob.gob.mx/notas/5752329","1542","LSE y LPTE cargadas. Faltan seis leyes; separar además reformas a LOAPF y Fondo Mexicano del Petróleo."
"RAD-004","12.1 Constitución, leyes, PND y reglamentos","","18 mar 2025","Decreto legislativo","Reforma a la Ley de Ingresos sobre Hidrocarburos","Vigente","FALTA EN CATALOGO","","","5752330","https://sidof.segob.gob.mx/notas/5752330","1543","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-005","12.1 Constitución, leyes, PND y reglamentos","","15 abr 2025","Decreto","Aprueba PND 2025-2030","Vigente","FALTA EN CATALOGO","","","5755161","https://sidof.segob.gob.mx/notas/5755161","1544","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-006","12.1 Constitución, leyes, PND y reglamentos","","15 abr 2025","Plan","Texto del PND 2025-2030","Vigente","FALTA EN CATALOGO","","","5755162","https://sidof.segob.gob.mx/notas/5755162","1545","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-007","12.1 Constitución, leyes, PND y reglamentos","","17 abr 2025","Reglamento interior","Reglamento Interior de la SENER","Vigente","YA CARGADO","Reglamento Interior de la Secretaría de Energía","","5755222","https://sidof.segob.gob.mx/notas/5755222","1546","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-008","12.1 Constitución, leyes, PND y reglamentos","","8 may 2025","Reglamento interior","Reglamento Interior de la CNE","Vigente","FALTA EN CATALOGO","","","5756757","https://sidof.segob.gob.mx/notas/5756757","1547","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-009","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reglamento","Ley del Sector Hidrocarburos","Vigente","YA CARGADO","Reglamento de la Ley del Sector de Hidrocarburos","","5769153","https://sidof.segob.gob.mx/notas/5769153","1548","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-010","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reglamento","Ley de Geotermia","Vigente","FALTA EN CATALOGO","","","5769154","https://sidof.segob.gob.mx/notas/5769154","1549","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-011","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reglamento","Ley del Sector Eléctrico","Vigente","YA CARGADO","Reglamento de la Ley del Sector Eléctrico","","5769155","https://sidof.segob.gob.mx/notas/5769155","1550","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-012","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reglamento","Ley de Biocombustibles","Vigente","FALTA EN CATALOGO","","","5769156","https://sidof.segob.gob.mx/notas/5769156","1551","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-013","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reglamento","Ley de Planeación y Transición Energética","Vigente","YA CARGADO","Reglamento de la Ley de Planeación y Transición Energética","","5769157","https://sidof.segob.gob.mx/notas/5769157","1552","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-014","12.1 Constitución, leyes, PND y reglamentos","","3 oct 2025","Reforma reglamentaria","Reglamento de la Ley de Ingresos sobre Hidrocarburos","Vigente","FALTA EN CATALOGO","","","5769158","https://sidof.segob.gob.mx/notas/5769158","1553","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-015","12.1 Constitución, leyes, PND y reglamentos","","2 dic 2025","Reglamento","Ley de la Empresa Pública del Estado, CFE","Vigente; fe de erratas posterior","FALTA EN CATALOGO","","","5774837","https://sidof.segob.gob.mx/notas/5774837","1554","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
