instrumento,estado,fragmentos,temas,resumen,fuente,ley_id
RLSE,Cortes confirmados,323,0,16 artículos carecen de identificación correcta: 12 están unidos a otros y 4 tienen el número truncado. El transitorio Octavo también fue cortado por una referencia al Noveno.,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LSE.pdf,7b6d37f8-5fd5-485e-bc5d-640a9b234950
LSE,Cortes confirmados,200,35,Seis artículos están unidos al anterior. Se mezclaron transitorios de la ley y del decreto y se creó un falso transitorio con una referencia a otros artículos del decreto.,https://www.diputados.gob.mx/LeyesBiblio/ref/lse/LSE_orig_18mar25.pdf,8e404121-3502-4f47-937d-a43762c52da8
LPTE,Cortes confirmados,110,0,Los artículos 14 y 66 están unidos al anterior. Se mezclaron transitorios de la ley y del decreto y se creó un falso transitorio con una referencia del decreto.,https://www.diputados.gob.mx/LeyesBiblio/pdf/LPTE.pdf,d19354e7-fbf9-427b-aa91-55017b027e0a
LGTAIP,Cortes confirmados,234,0,Cuatro artículos están unidos al anterior. El transitorio Décimo Quinto fue partido por una referencia interna y el Décimo Séptimo quedó mal identificado.,https://www.diputados.gob.mx/LeyesBiblio/pdf/LGTAIP.pdf,e7297529-d3df-4e69-8c01-d3d6d70e3e55
LGEC,Cortes confirmados,56,0,El artículo 44 está dentro del 43. La fecha de publicación almacenada también es incorrecta.,https://www.dof.gob.mx/nota_detalle.php?codigo=5778439&fecha=19/01/2026#gsc.tab=0,552fdbe9-91d1-4c6b-b1d2-4de35ad51f0c
PODECOBI-LIN,Cortes confirmados,37,0,Los lineamientos 9 y 16 quedaron dentro del preámbulo; 13 y 14 dentro del lineamiento 12. Hay 35 fragmentos ordinarios para 39 lineamientos.,https://www.dof.gob.mx/nota_detalle.php?codigo=5758079&fecha=22%2F05%2F2025#gsc.tab=0,c05debf0-3748-4dac-9619-f1216a5fbd88
SAEE,Cortes confirmados,154,0,"El numeral 3.13 fue cortado al citar 3.12, creando un segundo fragmento etiquetado 3.12. Hay pies de impresión dentro del texto.",https://sidof.segob.gob.mx/notas/docFuente/5785045,d5562ad3-7682-4add-8cc9-7ee5994fdc1c
RLSH,Cortes confirmados,369,47,Los 336 artículos tienen identificación individual. Dos referencias dentro de transitorios se convirtieron en fragmentos adicionales: Tercero y Artículo Transitorio.,https://www.dof.gob.mx/nota_detalle.php?codigo=5769153&fecha=03/10/2025#gsc.tab=0,bdfc48ed-5ff9-4746-9251-6e1fdc989c58
PODECOBI-DEC,Cortes confirmados,18,0,"Una referencia al artículo 89 constitucional se convirtió en un artículo del decreto. El decreto tiene 13 artículos ordinales, además de 3 transitorios.",https://www.dof.gob.mx/nota_detalle.php?codigo=5758077&fecha=22/05/2025#gsc.tab=0,ffa0dcbe-6f52-45da-bbbb-65f6410c2c9a
DACG-PV,Limpieza y metadatos,10,0,Los 8 artículos y el transitorio único están identificados. Hay pies de impresión y fecha de publicación incorrecta.,https://www.dof.gob.mx/nota_detalle.php?codigo=5770298&fecha=17/10/2025#gsc.tab=0,1a4e15a0-cb72-4195-9d96-fe1d939db0e2
RISENER,Limpieza y metadatos,87,12,"Los 78 artículos y 7 transitorios están identificados, además de la fórmula de expedición. La fecha guardada corresponde a la firma y no a la publicación; el cierre está unido al último transitorio.",https://sidof.segob.gob.mx/notas/5755222,266f38c4-c576-4244-9c45-0c79886cb748
RLPTE,Limpieza y metadatos,151,34,"Los 136 artículos y 13 transitorios están identificados, además de la fórmula de expedición. No se confirmaron fusiones o falsos cortes de disposiciones; hay encabezados y firmas unidos al cuerpo de fragmentos.",https://www.dof.gob.mx/nota_detalle.php?codigo=5769157&fecha=03/10/2025#gsc.tab=0,625c1343-cf4a-4dad-8808-912ed50ba641
